title,date,content,category,link
"2024 자랑스러운 한남인상' 후보자 추천 안내
",2024/09/20 13:52,"우리대학의 창학이념에 입각하여 사회 각 분야에서 본교의 명예를 드높이고 학교 발전에 기여한 분을 대상으로 '2024 자랑스러운 한남인상'을 아래와 같이 선정하고자 하오니 후보자를 추천하여 주시기 바랍니다.
- 아 래 -
1. 후보자 자격 : 본교 창학이념에 입각하여 사회 각 분야에서 본교의 명예를 드높이고 학교 발전에 기여한 분
2. 추천 분야 : 정치, 경제, 문화, 과학, 교육, 종교, 기타
3. 추천 방법 : 본교 교무위원 또는 동문 10인 이상의 추천
4. 시상 내용 : 상장, 상패, 상금 등 (분야 및 수상자는 자랑스러운 한남인상위원회에서 선정 예정)
5. 제출 서류 : 추천서 및 공적서(첨부 양식)
6. 제출 기간 : 2024. 9. 20(금) ~ 9. 30(월) 17:00까지
7. 제출 방법 : 이메일 또는 우편 접수
- 이메일 fund@hnu.kr
- 주소 : 대전광역시 대덕구 한남로70, 한남대학교 본관 1층 대외협력팀
8. 수상자 선정 : 자랑스러운 한남인상위원회
9. 문의 : 042) 629-7502, 7503
자랑스러운 한남인상위원회",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190679&pPageNo=1&pRowCount=30&isGongjiPostList=Y
"2024학년도 2학기 비전임교원(연구교수, 객원교원) 공개임용 공고(2024.11.01.부 임용)",2024/09/20 9:56,,공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190673&pPageNo=1&pRowCount=30&isGongjiPostList=Y
기간 연장! / [한남대학교 교수학습원격교육센터] 2024-2학기 HNU 스터디그룹 모집 안내(전공 or 교양 과목 스터디 가능 / 자격증 준비 스터디 불가),2024/09/25 15:39,"1. 스터디그룹 신청방법
Google 폼 신청 제출(https://forms.gle/39YJXCVMgKXXVxD28)
* 9월 29일까지 구글 폼으로 신청 및 신청서, 계획서 제출하셔야 합니다!

2. 신청기간
- 2024. 09. 12.(목) ~ 2024. 09. 29.(일) 23:59까지

3. 오리엔테이션 :
- 2024. 10. 11.(금) / 12:00 대면 (정성균선교관 1층 113호실) / (팀원 중 1명 필참)

4.신청대상:
- 본교 재학생

5.선정 결과 발표:
- 2024. 10. 04.(금) / 한남대학교 공지사항에 공지 예정

6.장학금 규모:
* 장학금액은 변동 될 수 있습니다.

기준	선정 규모	그룹별 장학금액
S그룹	10개 그룹	각 1,000,000
A그룹	10개 그룹	각 600,000
B그룹	20개 그룹	각 400,000
",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190746&pPageNo=1&pRowCount=30&isGongjiPostList=N
[교수학습원격교육센터] 2024-2학기 홀로서기 학습 프로그램 참여자 모집(장학금 인당 20만원 참여 혜택 有)(모집기간연장),2024/09/25 10:27,"1. 신청방법
- 첨부파일(참여신청서 및 개인정보활용동의서) 작성 후 <https://forms.gle/HanbVbbgP3AjEXNo7> 를 통해 제출
2. 신청기간
- 09.12.(목) 00:00 ~ 10.09.(수) 23:59
3. 선정결과 발표
- 10.11.(금)/선정자에 한해 개별 알림톡 발송 예정
4. 선정기준
- 지원동기(30점) 활동포부(30점) 학습 목표 및 계획(40점)으로 평가하여 선발
5. 선정인원
- 70명 내외(신청 인원에 따라 조정 가능)
6. 오리엔테이션(필참)
- 10.14.(월) 11:00(오리엔테이션 일정 추후 재공지)
7. 참여혜택
- 우수학습자 대상 장학금(50명) 20만원 및 시상품(5명) 지급
8. 활동기간 및 내용
- 10.14.(월) ~ 12.18.(수) 기간 중 최소 6주 학습 활동 수행
- 오리엔테이션에서 상세 내용 안내 예정",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190740&pPageNo=1&pRowCount=30&isGongjiPostList=N
[산학협력단] 스마트제조 고급인력 양성사업 - 양방향 현장교류형 산학투어 프로그램 모집안내,2024/09/24 17:59,"한남대학교 산학협력단에서는 스마트제조 고급인력 양성사업 관련하여 대전권 3개 대학이 함께 이공계 전문인력을 육성하고자 기업탐방 프로그램을 운영하고자 합니다.
이에 기업탐방에 관심있는 학생들의 많은 관심과 참여 부탁드립니다.

○ 모집기간 : 2024. 9. 24.(화) ~ 25.(수) 16:00
○ 모집방법 : '대전잡고' 어플리케이션을 통해 신청
○ 행사일시 : 2024. 9. 27.(금) 14:00 ~ 16:00
○ 개최장소 : (주)삼진정밀
○ 참여대상 : 한남대학교 이공계열(2-4학년) 15명 내외
○ 주요내용 : 기업소개(기술, 제품, 사업분야, 채용전형, 기업문화, 복지 등) 및 기업 현장투어(공정견학, 제품시연 등)",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190737&pPageNo=1&pRowCount=30&isGongjiPostList=N
[LINC 3.0 사업단] 지역관광산업 활성화를 위한 대학생 아이디어 공모전「K-Tour Idea Challenge 2024」참여자 모집안내,2024/09/24 13:20,,공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190727&pPageNo=1&pRowCount=30&isGongjiPostList=N
[교수학습원격교육센터] 무료화상회의 플랫폼 안내,2024/09/24 11:32,"[교수학습원격교육센터] 무료화상회의 플랫폼 안내
교수학습원격교육센터에서는2025년 2월부터 ZOOM 라이센스가 계약 종료됨에 따라 시간제한 없이 사용중인 ZOOM을 대체할 무료 화상회의 플랫폼에 대한 매뉴얼과
안내영상을 제작하였습니다. 아래와 같이 무료화상회의 플랫폼 사용방법 매뉴얼을 안내하오니, 관련 업무에 적극 활용하여 주시기 바랍니다.
가. 배경 : 2025년 2월 ZOOM 라이센스 계약 종료에 따른 무료화상회의 플랫폼 이용
나. 무료 화상 회의 플랫폼 : 팀즈 (TEAMS), 웨일온 (WHALE ON), 줌 (ZOOM)
다. 무료 화상 회의 플랫폼 정보",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190725&pPageNo=1&pRowCount=30&isGongjiPostList=N
[LINC 3.0 사업단] 2024 산학협력 EXPO 1인 크리에이터 동영상 콘텐츠 경진대회,2024/09/24 11:12,"2023년도 산학협력 EXPO 1인 크리에이터 참가자 영상
2023 산학협력 EXPO 1인 크리에이터 동영상 콘텐츠 경진대회 우수상_대학생 첫! 창업스토리
확인
2023 산학협력 EXPO 1인 크리에이터 동영상 콘텐츠 경진대회 참가상_차린 건 링크사업단밖에 없지만
확인
신청서 및 경진대회 안내는 첨부파일 참고 부탁드립니다.
많은 관심 부탁드립니다 !",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190721&pPageNo=1&pRowCount=30&isGongjiPostList=N
"[교육개발센터] 2024학년도 학부교육실태조사 실시 안내(~10/4, 기프티콘 추첨 제공)",2024/09/24 9:32,"2024학년도 학부교육실태조사(K-NSSE)
우리 대학의 학부교육 실태를 파악하고, 이를 바탕으로 교육의 질 제고를 하고자 설문을 추진하오니, 성심껏 응답하여 주시길 바랍니다.
설문에 참여한 재학생 200명을 추첨하여 모바일 커피상품권(1만원 상당)을 드리오니, 재학생들의 많은 관심과 참여 부탁드립니다!
1. 설문 대상 : 2024년도 1학기 재학한 학생
2. 설문 기간 : 2024.09.02.(월) ~ 10.04.(금)
3. 소요 시간 : 15분 내외
4. 설문 방법 : URL 접속 및 하단의 QR코드 스캔 후 설문 실시
5. URL :
https://surveyl.ink/KNSSE_HNU_2024",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190716&pPageNo=1&pRowCount=30&isGongjiPostList=N
[LINC 3.0 사업단] 2024 교내 캡스톤디자인 경진대회 개최(~9/27),2024/09/23 13:50,"안녕하세요. LINC3.0사업단입니다.
아래와 같이 2024 교내 캡스톤디자인 경진대회를 개최하오니 첨부된 제출 양식을 확인하여 주시고 지원하고자 하는 학생들은 기한 내 제출해주시기 바랍니다.
제출처 : euijin@hnu.kr
* 제출시 파일명 '이름_팀명'으로 통일 (대표학생 이름으로 제출하면 됩니다.)
학생들의 많은 참여 부탁드립니다 !",공지사항,https://www.hannam.ac.kr/kor/community/community_01_1.html?pPostNo=190708&pPageNo=1&pRowCount=30&isGongjiPostList=N
[졸업] 2025년 2월(2024년 전기) 졸업예정자 졸업 예비사정용 성적일람표 확인 안내,2024/09/25 21:36,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190753&pPageNo=1&pRowCount=30&isGongjiPostList=Y
"[조기취업] 2024학년도 2학기 조기취업자 출석 및 성적 인정 처리 지침 안내
",2024/08/07 14:57,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=189865&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[휴학/복학] 2024-2학기 휴학·복학 신청 안내,2024/08/05 9:47,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=189801&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[수강취소]2024학년도 2학기 수강과목 취소기간 운영 안내,2024/09/12 9:28,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190597&pPageNo=1&pRowCount=30&isGongjiPostList=N
[등록]2024학년도 2학기 학부 및 대학원 재학생(복학예정자 포함) 추가2차 등록 안내,2024/09/10 15:05,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190547&pPageNo=1&pRowCount=30&isGongjiPostList=N
[수업]2024학년도 2학기 주요 학사일정 및 수업결손대체일 안내,2024/09/09 18:51,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190541&pPageNo=1&pRowCount=30&isGongjiPostList=N
[수업] 2024학년도 2학기 수강신청 확인 및 변경기간 운영 안내,2024/09/02 9:12,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190361&pPageNo=1&pRowCount=30&isGongjiPostList=N
[부전공] 2024-2학기 부전공 신청 안내,2024/08/29 10:47,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190312&pPageNo=1&pRowCount=30&isGongjiPostList=N
[등록]2024학년도 2학기 학부 및 대학원 재학생(복학예정자 포함) 추가등록 안내,2024/08/27 16:49,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190268&pPageNo=1&pRowCount=30&isGongjiPostList=N
[조기졸업] 2024학년도 전기(2025년 2월) 조기졸업 신청 안내,2024/08/22 16:58,,학사공지,https://www.hannam.ac.kr/kor/community/community_01_9.html?pPostNo=190197&pPageNo=1&pRowCount=30&isGongjiPostList=N
[취업지원팀] 2024학년도 진로·취업 멘토링 프로그램 「명사특강」 수요조사 안내,2024/09/24 13:49,"2024학년도 진로·취업 멘토링 프로그램 「명사특강」 수요조사 안내입니다.
본 수요조사를 기반으로 2024학년도 명사 특강에 초청될 강사를 선정하고자 합니다. 재학생들의 많은 투표 바랍니다.
설문폼 : https://forms.gle/RaC9az3QMFUQpqAz6",취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190728&pPageNo=1&pRowCount=30&isGongjiPostList=Y
2024학년도 「한남대학교 맞춤형 해외취업 프로그램 개설을 위한 수요조사」안내 (선착순 기프티콘),2024/09/23 8:54,,취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190699&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[취업지원팀] 2024학년도 2학기 「졸업생 맞춤형 경력초기 적응 지원」온라인 동영상 플랫폼 오픈 안내,2024/09/12 16:02,,취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190610&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[취업지원팀] [경력마일리지] 2024학년도 2학기 「고학년 맞춤형 취업역량강화」온라인 동영상 플랫폼 오픈 안내,2024/09/12 16:01,,취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190609&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[취업지원팀] [경력마일리지] 2024학년도 2학기 「저학년 맞춤형 진로탐색」온라인 동영상 플랫폼 오픈 안내,2024/09/12 15:57,,취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190608&pPageNo=1&pRowCount=30&isGongjiPostList=Y
[취업지원팀] 하반기 집중 취업지원 기간 프로그램 안내,2024/09/09 11:53,,취업공지,https://www.hannam.ac.kr/kor/community/community_01_4.html?pPostNo=190517&pPageNo=1&pRowCount=30&isGongjiPostList=Y
